# this file is a copy of the TLS one, with small modifications made by looking at SSL3-related RFCs and documents
Value,Description,,Reference
"0x00,0x9A",SSL_DHE_RSA_WITH_SEED_CBC_SHA,Y,[RFC4162]
"0x00,0x9B",SSL_DH_anon_WITH_SEED_CBC_SHA,Y,[RFC4162]
"0x00,0x9C",SSL_RSA_WITH_AES_128_GCM_SHA256,Y,[RFC5288]
"0x00,0x9D",SSL_RSA_WITH_AES_256_GCM_SHA384,Y,[RFC5288]
"0x00,0x9E",SSL_DHE_RSA_WITH_AES_128_GCM_SHA256,Y,[RFC5288]
"0x00,0x9F",SSL_DHE_RSA_WITH_AES_256_GCM_SHA384,Y,[RFC5288]
"0x00,0xA0",SSL_DH_RSA_WITH_AES_128_GCM_SHA256,Y,[RFC5288]
"0x00,0xA1",SSL_DH_RSA_WITH_AES_256_GCM_SHA384,Y,[RFC5288]
"0x00,0xA2",SSL_DHE_DSS_WITH_AES_128_GCM_SHA256,Y,[RFC5288]
"0x00,0xA3",SSL_DHE_DSS_WITH_AES_256_GCM_SHA384,Y,[RFC5288]
"0x00,0xA4",SSL_DH_DSS_WITH_AES_128_GCM_SHA256,Y,[RFC5288]
"0x00,0xA5",SSL_DH_DSS_WITH_AES_256_GCM_SHA384,Y,[RFC5288]
"0x00,0xA6",SSL_DH_anon_WITH_AES_128_GCM_SHA256,Y,[RFC5288]
"0x00,0xA7",SSL_DH_anon_WITH_AES_256_GCM_SHA384,Y,[RFC5288]
"0x00,0xA8",SSL_PSK_WITH_AES_128_GCM_SHA256,Y,[RFC5487]
"0x00,0xA9",SSL_PSK_WITH_AES_256_GCM_SHA384,Y,[RFC5487]
"0x00,0xAA",SSL_DHE_PSK_WITH_AES_128_GCM_SHA256,Y,[RFC5487]
"0x00,0xAB",SSL_DHE_PSK_WITH_AES_256_GCM_SHA384,Y,[RFC5487]
"0x00,0xAC",SSL_RSA_PSK_WITH_AES_128_GCM_SHA256,Y,[RFC5487]
"0x00,0xAD",SSL_RSA_PSK_WITH_AES_256_GCM_SHA384,Y,[RFC5487]
"0x00,0xAE",SSL_PSK_WITH_AES_128_CBC_SHA256,Y,[RFC5487]
"0x00,0xAF",SSL_PSK_WITH_AES_256_CBC_SHA384,Y,[RFC5487]
"0x00,0xB0",SSL_PSK_WITH_NULL_SHA256,Y,[RFC5487]
"0x00,0xB1",SSL_PSK_WITH_NULL_SHA384,Y,[RFC5487]
"0x00,0xB2",SSL_DHE_PSK_WITH_AES_128_CBC_SHA256,Y,[RFC5487]
"0x00,0xB3",SSL_DHE_PSK_WITH_AES_256_CBC_SHA384,Y,[RFC5487]
"0x00,0xB4",SSL_DHE_PSK_WITH_NULL_SHA256,Y,[RFC5487]
"0x00,0xB5",SSL_DHE_PSK_WITH_NULL_SHA384,Y,[RFC5487]
"0x00,0xB6",SSL_RSA_PSK_WITH_AES_128_CBC_SHA256,Y,[RFC5487]
"0x00,0xB7",SSL_RSA_PSK_WITH_AES_256_CBC_SHA384,Y,[RFC5487]
"0x00,0xB8",SSL_RSA_PSK_WITH_NULL_SHA256,Y,[RFC5487]
"0x00,0xB9",SSL_RSA_PSK_WITH_NULL_SHA384,Y,[RFC5487]
"0x00,0xBA",SSL_RSA_WITH_CAMELLIA_128_CBC_SHA256,Y,[RFC5932]
"0x00,0xBB",SSL_DH_DSS_WITH_CAMELLIA_128_CBC_SHA256,Y,[RFC5932]
"0x00,0xBC",SSL_DH_RSA_WITH_CAMELLIA_128_CBC_SHA256,Y,[RFC5932]
"0x00,0xBD",SSL_DHE_DSS_WITH_CAMELLIA_128_CBC_SHA256,Y,[RFC5932]
"0x00,0xBE",SSL_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA256,Y,[RFC5932]
"0x00,0xBF",SSL_DH_anon_WITH_CAMELLIA_128_CBC_SHA256,Y,[RFC5932]
"0x00,0xC0",SSL_RSA_WITH_CAMELLIA_256_CBC_SHA256,Y,[RFC5932]
"0x00,0xC1",SSL_DH_DSS_WITH_CAMELLIA_256_CBC_SHA256,Y,[RFC5932]
"0x00,0xC2",SSL_DH_RSA_WITH_CAMELLIA_256_CBC_SHA256,Y,[RFC5932]
"0x00,0xC3",SSL_DHE_DSS_WITH_CAMELLIA_256_CBC_SHA256,Y,[RFC5932]
"0x00,0xC4",SSL_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA256,Y,[RFC5932]
"0x00,0xC5",SSL_DH_anon_WITH_CAMELLIA_256_CBC_SHA256,Y,[RFC5932]
"0x00,0xC6-FE",Unassigned,,
#"0x00,0xFF",SSL_EMPTY_RENEGOTIATION_INFO_SCSV,Y,[RFC5746]
#"0x01-55,*",Unassigned,,
#"0x56,0x00",SSL_FALLBACK_SCSV,Y,[RFC7507]
#"0x56,0x01-0xC0,0x00",Unassigned,,
"0xC0,0x01",SSL_ECDH_ECDSA_WITH_NULL_SHA,Y,[RFC4492]
"0xC0,0x02",SSL_ECDH_ECDSA_WITH_RC4_128_SHA,N,[RFC4492][RFC6347]
"0xC0,0x03",SSL_ECDH_ECDSA_WITH_3DES_EDE_CBC_SHA,Y,[RFC4492]
"0xC0,0x04",SSL_ECDH_ECDSA_WITH_AES_128_CBC_SHA,Y,[RFC4492]
"0xC0,0x05",SSL_ECDH_ECDSA_WITH_AES_256_CBC_SHA,Y,[RFC4492]
"0xC0,0x06",SSL_ECDHE_ECDSA_WITH_NULL_SHA,Y,[RFC4492]
"0xC0,0x07",SSL_ECDHE_ECDSA_WITH_RC4_128_SHA,N,[RFC4492][RFC6347]
"0xC0,0x08",SSL_ECDHE_ECDSA_WITH_3DES_EDE_CBC_SHA,Y,[RFC4492]
"0xC0,0x09",SSL_ECDHE_ECDSA_WITH_AES_128_CBC_SHA,Y,[RFC4492]
"0xC0,0x0A",SSL_ECDHE_ECDSA_WITH_AES_256_CBC_SHA,Y,[RFC4492]
"0xC0,0x0B",SSL_ECDH_RSA_WITH_NULL_SHA,Y,[RFC4492]
"0xC0,0x0C",SSL_ECDH_RSA_WITH_RC4_128_SHA,N,[RFC4492][RFC6347]
"0xC0,0x0D",SSL_ECDH_RSA_WITH_3DES_EDE_CBC_SHA,Y,[RFC4492]
"0xC0,0x0E",SSL_ECDH_RSA_WITH_AES_128_CBC_SHA,Y,[RFC4492]
"0xC0,0x0F",SSL_ECDH_RSA_WITH_AES_256_CBC_SHA,Y,[RFC4492]
"0xC0,0x10",SSL_ECDHE_RSA_WITH_NULL_SHA,Y,[RFC4492]
"0xC0,0x11",SSL_ECDHE_RSA_WITH_RC4_128_SHA,N,[RFC4492][RFC6347]
"0xC0,0x12",SSL_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA,Y,[RFC4492]
"0xC0,0x13",SSL_ECDHE_RSA_WITH_AES_128_CBC_SHA,Y,[RFC4492]
"0xC0,0x14",SSL_ECDHE_RSA_WITH_AES_256_CBC_SHA,Y,[RFC4492]
"0xC0,0x15",SSL_ECDH_anon_WITH_NULL_SHA,Y,[RFC4492]
"0xC0,0x16",SSL_ECDH_anon_WITH_RC4_128_SHA,N,[RFC4492][RFC6347]
"0xC0,0x17",SSL_ECDH_anon_WITH_3DES_EDE_CBC_SHA,Y,[RFC4492]
"0xC0,0x18",SSL_ECDH_anon_WITH_AES_128_CBC_SHA,Y,[RFC4492]
